Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
"Ahmedabad, Amreli, Bharuch, Bhavnagar, Botad,Udaiur, Devbhumi Dwarka, Devbhumi Dwarka Dwarka, Dahod, Gandhinagar, Gir Somnath, Jamnagar, Junagadh, Kachchh, Mahesana, Morbi, Navsari, Panch Mahals, Patan, Rajkot, Sabar Kantha,Tapi, Dangs, Vadodara, Valsad",2016,1,120,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,120.006885,18263.97663,
"Ahmedabad, Bharuch, Bhavnagar, Junagadh, Narmada, Surat,Surendranagar",2007,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Ahmedabad, Bharuch, Junagadh, Kheda, Navsari, Panch Mahals, Sabar Kantha, Surat, Surendranagar,Valsad",2000,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Ahmedabad, Bharuch, Panch Mahals,Vadodara",1984,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Ahmedabad, Bharuch, Sabar Kantha,Vadodara",1993,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Ahmedabad, Chota Udaipur, The Dangs, Kheda, Narmada, Navsari, Panch Mahals, Surat, Tapi, Valsad",2022,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Ahmedabad, Jamnagar, Junagadh, Porbandar, Rajkot, Valsad",2021,1,8,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,8.000459002,18263.97663,
"Ahmedabad, Panch Mahals, Vadodara",1985,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
Ahmednagar,1979,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Ahmednagar,1997,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Ahmednagar,2001,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
Ahmednagar,2014,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Ahmednagar,2021,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Ahmednagar,2022,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Ahmednagar,2023,2,1.5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Ahmednagar, Akola, Aurangabad, Beed, Buldhana, Chandrapur, Dhule, Hingoli, Jalgaon, Jalna, Kolhapur, Latur, Nanded, Nashik, Parbhani, Pune, Sangli, Satara, Wardha, Washim,Yavatmal",2006,1,5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,5.000286876,18263.97663,
"Ahmednagar, Akola, Buldhana, Parbhani, Pune,Satara",2010,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Ahmednagar, Aurangabad, Jalna, Jalgaon, Nashik, Dharashiv, Pune, Satara, Solapur, Washim",2020,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Ahmednagar, Aurangabad, Jalna, Latur,Nanded",1990,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Ahmednagar, Beed, Jalna, Mumbai, Nashik, Dharashiv, Pune,Satara",2006,1,6,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,6.000344251,18263.97663,
"Ahmednagar, Dhule, Jalgaon, Mumbai, Nandurbar, Nashik, Pune",2016,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Ahmednagar, Hingoli, Kolhapur, Nanded, Parbhani, Raigarh, Ratnagiri, Sindhudurg",2021,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Ahmednagar, Kolhapur, Raigarh, Ratnagiri, Sangli, Sindhudurg,Solapur",2009,1,6,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,6.000344251,18263.97663,
"Ahmednagar, Mumbai",1988,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Ahmednagar, Nashik, Dharashiv, Pune",2021,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Ahmednagar, Pune,Solapur",2001,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
Aizawl,1992,1,2,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422,2.000636844,9990.877402,
Aizawl,1999,1,1,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422,1.000318422,9990.877402,
Aizawl,2009,1,1,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422,1.000318422,9990.877402,
Aizawl,2013,1,1,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422,1.000318422,9990.877402,
Aizawl,2023,1,1,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422,1.000318422,9990.877402,
Ajmer,1995,1,1,,,Ajmer,135,23,2985855,4,Ajmer,0.260510002,0.05695381,0.203556192,4.52E-05,1.000045213,6077.892737,
Ajmer,1996,1,1,,,Ajmer,135,23,2985855,4,Ajmer,0.260510002,0.05695381,0.203556192,4.52E-05,1.000045213,6077.892737,
Ajmer,2019,1,1,,,Ajmer,135,23,2985855,4,Ajmer,0.260510002,0.05695381,0.203556192,4.52E-05,1.000045213,6077.892737,
Ajmer,2023,1,1,,,Ajmer,135,23,2985855,4,Ajmer,0.260510002,0.05695381,0.203556192,4.52E-05,1.000045213,6077.892737,
"Ajmer, Alwar, Banswara, Bharatpur, Churu, Jaisalmer, Jhunjhunu, Jodhpur,Sikar",2003,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Ajmer, Alwar, Baran, Bharatpur, Bhilwara, Churu, Dausa, Dholpur, Jhalawar,Kota",1999,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
