Districts,Year,Flood_Frequency,Mean_Duration,Human_fatality,Human_injured,Population,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure
Adilabad,2000.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Hyderabad,2000.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Khammam,2000.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Kurnool,2000.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Mahabubnagar,2000.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Nalgonda,2000.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Warangal,2000.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Adilabad,2013.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Karimnagar,2013.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Khammam,2013.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Hyderabad,2013.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Visakhapatnam,2013.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Adilabad,2014.0,1,2.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
Karimnagar,2014.0,1,2.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
Khammam,2014.0,1,2.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
