Districts,Year,Flood_Frequency,Mean_Duration,Human_fatality,Human_injured,Population,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure
Amreli,1998.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Banas Kantha,1998.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Bharuch,1998.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Jamnagar,1998.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Junagadh,1998.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Surat,1998.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Surendranagar,1998.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Valsad,1998.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Amreli,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Banas Kantha,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Bhavnagar,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Valsad,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Jamnagar,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Junagadh,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Kachchh,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Rajkot,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Surat,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Vadodara,1988.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Amreli,1994.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Bharuch,1994.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Bhavnagar,1994.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Junagadh,1994.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Rajkot,1994.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Surat,1994.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Valsad,1994.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Amreli,2012.0,2,30.5,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,61.00349988899956,18263.976629352048
Bharuch,2012.0,2,30.5,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,61.00349988899956,18263.976629352048
Dangs,2012.0,2,30.5,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,61.00349988899956,18263.976629352048
Gir Somnath,2012.0,2,30.5,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,61.00349988899956,18263.976629352048
Junagadh,2012.0,2,30.5,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,61.00349988899956,18263.976629352048
Kachchh,2012.0,2,30.5,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,61.00349988899956,18263.976629352048
Navsari,2012.0,2,30.5,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,61.00349988899956,18263.976629352048
Tapi,2012.0,2,30.5,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,61.00349988899956,18263.976629352048
Bharuch,2019.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
Dangs,2019.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
Gir Somnath,2019.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
Junagadh,2019.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
Kachchh,2019.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
Navsari,2019.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
Tapi,2019.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
Bharuch,2022.0,1,2.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
Dangs,2022.0,1,2.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
Gir Somnath,2022.0,1,2.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
Junagadh,2022.0,1,2.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
Kachchh,2022.0,1,2.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
Amritsar,1983.0,1,2.0,117.0,21.0,2748187.0,2.558209055,4.257352210748395e-05,2.000085147044215,70304.36868233285
Amritsar,1995.0,1,2.0,117.0,21.0,2748187.0,2.558209055,4.257352210748395e-05,2.000085147044215,70304.36868233285
Amritsar,2007.0,1,1.0,117.0,21.0,2748187.0,2.558209055,4.257352210748395e-05,1.0000425735221077,70304.36868233285
Amritsar,2023.0,1,7.0,117.0,21.0,2748187.0,2.558209055,4.257352210748395e-05,7.000298014654752,70304.36868233285
Amritsar,2006.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Ananthapuramuamu,2006.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Bathinda,2006.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Kapurthala,2006.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
S.A.S Nagar*,2006.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Rupnagar,2006.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Amritsar,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Bathinda,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Barnala,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Ferozepur,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Fazilka,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Jalandhar,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Moga,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Pathankot,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Rupnagar,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Sangrur,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Sri Sri Muktsar Sahib Sahib,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Tarn Taran,2015.0,1,30.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,30.00172125688503,18263.976629352048
Amritsar,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Bathinda,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Ferozepur,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Gurdaspur,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Hoshiarpur,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Jalandhar,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Kapurthala,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Ludhiana,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Patiala,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Sangrur,1988.0,1,38.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,38.00218025872104,18263.976629352048
Amritsar,1990.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Bathinda,1990.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Ferozepur,1990.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Ludhiana,1990.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Patiala,1990.0,1,4.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,4.000229500918004,18263.976629352048
Amritsar,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Fatehgarh Sahib,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Ferozepur,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Gurdaspur,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Hoshiarpur,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Kapurthala,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Ludhiana,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Mansa,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Patiala,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Rupnagar,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Sangrur,1993.0,1,5.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,5.000286876147505,18263.976629352048
Amritsar,2014.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Fazilka,2014.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Gurdaspur,2014.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Ferozepur,1995.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Kapurthala,1995.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Amritsar,2005.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Patiala,2005.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Amroha,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Hapur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Bareilly,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Pilibhit,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Bulandshahr,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Gautam Buddha Nagar,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Kheri,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Budaun,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Bahraich,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Shahjahanpur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Aligarh,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Kasganj,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Mathura,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Sshrawasti,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Sitapur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Hathras,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Etah,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Hardoi,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Farrukhabad,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Firozabad,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Siddharthnagar,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Mainpuri,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Mahrajganj,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Agra,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Gonda,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Bara Banki,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Kushinagar,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Kannauj,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Lucknow,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Basti,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Gorakhpur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Sant Kabir Nagar,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Unnao,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Etawah,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Kanpur Nagar Nagar,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Auraiya,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Ayodhya,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Kanpur Nagar Dehat,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Deoria,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Sultanpur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Ambedkar Nagar,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Rae Bareli,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Jalaun,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Azamgarh,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Mau,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Fatehpur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Ballia,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Jaunpur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Jhansi,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Banda,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Ghazipurr,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Kaushambi,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Prayagraj,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Varanasi,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Chitrakoot,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Chandauli,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Bhadohi,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Mirzapur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Lalitpur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Sonbhadra,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Amethi,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Ghaziabad,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Sambhal,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Mahoba,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Saharanpur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Bijnor,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Muzaffarnagar,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Baghpat,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Meerut,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Moradabad,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Rampur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Shamli,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Balrampur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Hamirpur,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Pratapgarh,1983.0,1,16.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,16.000918003672016,18263.976629352048
Amroha,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Hapur,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Bareilly,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Pilibhit,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Bulandshahr,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Gautam Buddha Nagar,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Kheri,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Budaun,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Shahjahanpur,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Aligarh,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Kasganj,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Mathura,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Sshrawasti,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Sitapur,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Hathras,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Etah,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Hardoi,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Farrukhabad,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Firozabad,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Siddharthnagar,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Mainpuri,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Mahrajganj,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Agra,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Bara Banki,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Kushinagar,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Kannauj,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Lucknow,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Basti,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Gorakhpur,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Sant Kabir Nagar,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Unnao,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Etawah,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Kanpur Nagar Nagar,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Auraiya,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Ayodhya,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Kanpur Nagar Dehat,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Deoria,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Sultanpur,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Ambedkar Nagar,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
Rae Bareli,1993.0,1,14.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,14.000803253213014,18263.976629352048
