Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio
"Alappuzha, Kasaragod, Kozhikode, Thiruvananthapuram, Thrissur,Wayanad",2014,1,7,,,,,,,,,,,,
"Alappuzha, Kollam Kozhikode, Malappuram,Thrissur, Thiruvananthapuram,Wayanad",2010,1,6,,,,,,,,,,,,
"Alappuzha, Kollam, Pathanamthitta,Thiruvananthapuram",1992,1,2,,,,,,,,,,,,
"Alappuzha, Kottayam",2021,1,1,,,,,,,,,,,,
"Alappuzha, Kottayam, Pathanamthitta",2020,1,1,,,,,,,,,,,,
"Alappuzha, Malappuram, Pathanamthitta, Thiruvananthapuram,Wayanad",2007,1,7,,,,,,,,,,,,
"Alappuzha, Thiruvananthapuram",2015,1,12,,,,,,,,,,,,
"Alappuzha, Thiruvananthapuram",2021,1,1,,,,,,,,,,,,
"Alappuzha, Thiruvananthapuram,Thrissur",1994,1,1,,,,,,,,,,,,
"Alappuzha,Kannur, Ernakulam, Idukki, Kottayam,Kollam",1986,1,14,,,,,,,,,,,,
"Alappuzha,Kannur, Kottayam, Kozhikode, Malappuram, Palakkad,Thrissur",1980,1,14,,,,,,,,,,,,
"Alappuzha,Kottayam",1995,1,4,,,,,,,,,,,,
"Alappuzha,Kozhikode",1991,1,1,,,,,,,,,,,,
