,MAE,RMSE,R2
Train,0.015790152169652256,0.30317910072874177,0.9999650890713657
Validation,0.07754763337193986,1.962272425381005,0.9988859047923316
Test,0.033427752554928164,0.8502292943818791,0.9998027427170729
